#x= np.linspace(0, 13*np.pi, 4096)
#204.8 pc cycle
#Radius %Deviation
30 0.7554011176131665
50 0.7106172444587171
100 0.6431703293538165
150 0.5609447629155488
200 0.4595679541953006
250 0.345955007934439
275 0.2873664670117658
300 0.22915169890740367
325 0.17257314873144156
350 0.11894934035905234
375 0.07019383989310694
400 0.03283235089762692
425 0.03681911733521927
450 0.06656437209882543
500 0.11779328898843466
650 0.13467797389002875
